"lad","town_time","town_30mins_pct","town_60mins_pct","town_30mins_cycle_pct","town_30mins_car_pct"
"E06000047",21.8486856672121,87.2254,98.8164,99.0851,99.0851
"E06000005",20.372243137388,94.7015,98.6087,100,100
"E06000001",21.9331769334138,92.1955,98.713,100,100
"E06000002",18.1980054021998,95.365,100,100,100
"E06000057",29.0021360124624,71.3283,93.063,95.7452,95.7452
"E06000003",24.0627651076006,73.1635,100,100,100
"E06000004",22.4225911314005,87.8047,98.5475,100,100
"E11000004",19.1404363473449,91.9439,100,100,100
"E08000037",22.8556690518783,79.1724,100,100,100
"E08000021",15.504003783548,98.7025,100,100,100
"E08000022",16.5739128352509,99.7777,100,100,100
"E08000023",18.397665311489,96.5874,100,100,100
"E08000024",22.6017497446005,85.8645,100,100,100
"E06000008",19.3209717660863,95.5496,100,100,100
"E06000009",17.962002297178,99.0406,100,100,100
"E06000049",22.3910247679895,86.491,97.0397,100,100
"E06000050",24.4666565400059,83.5507,96.9569,100,100
"E06000006",16.4183022903366,99.7798,100,100,100
"E06000007",21.9249617883727,87.1733,100,100,100
"E10000006",30.3693568167023,73.5186,88.5048,96.6449,96.6449
"E07000026",25.9356959387799,81.457,91.5102,99.7355,99.7355
"E07000027",18.7846798366256,95.3368,100,100,100
"E07000028",30.2855199396292,78.1822,90.5398,97.8622,97.8622
"E07000029",29.5242590730982,67.3001,91.4163,93.3136,93.3136
"E07000030",54.582727538866,44.5341,56.8849,92.3447,92.3447
"E07000031",30.3453778978382,65.8585,90.1225,94.6958,94.6958
"E11000001",16.9464585013096,97.8105,99.9787,100,100
"E08000001",19.5644886675527,96.231,100,100,100
"E08000002",19.214593141545,97.2163,100,100,100
"E08000003",15.9813258535895,98.3251,100,100,100
"E08000004",14.4495666039492,100,100,100,100
"E08000005",17.7884451108446,99.1513,100,100,100
"E08000006",17.6451663510032,95.4236,99.9537,100,100
"E08000007",16.0009811509958,98.7669,100,100,100
"E08000008",16.2044030842268,99.7395,99.8856,100,100
"E08000009",15.8301979291418,98.2292,100,100,100
"E08000010",17.8064937594509,95.7753,99.9382,100,100
