"old_name","lad","new_codes","new_names"
"Bournemouth","E06000028","E06000058","Bournemouth Christchurch and Poole"
"Christchurch","E07000048","E07000244","Bournemouth Christchurch and Poole"
"Poole","E06000029","E07000245","Bournemouth Christchurch and Poole"
"Suffolk Coastal","E07000205","E06000060","East Suffolk"
"Waveney","E07000206","E06000059","East Suffolk"
"St Edmundsbury","E07000204","E07000246","West Suffolk"
"Forest Heath","E07000201","E06000058","West Suffolk"
"Aylesbury Vale","E07000004","E07000244","Buckinghamshire"
"South Bucks","E07000006","E07000245","Buckinghamshire"
"Chiltern","E07000005","E06000060","Buckinghamshire"
"Wycombe","E07000007","E06000059","Buckinghamshire"
"North Dorset","E07000050","E07000246","Dorset"
"East Dorset","E07000049","E06000058","Dorset"
"West Dorset","E07000052","E07000244","Dorset"
"Weymouth and Portland","E07000053","E07000245","Dorset"
"Purbeck","E07000051","E06000060","Dorset"
"Taunton Deane","E07000190","E06000059","Somerset West and Taunton"
"West Somerset","E07000191","E07000246","Somerset West and Taunton"
