"lad","lad_name","n_other_lots","total_spaces","free_space_pct","surplus","town_time"
"E06000001","Hartlepool",0,4478,1.87583742742296,278,21.9331769334138
"E06000002","Middlesbrough",NA,6701,12.0429786599015,226,18.1980054021998
"E06000003","Redcar and Cleveland",NA,2008,12.1513944223108,331,24.0627651076006
"E06000004","Stockton-on-Tees",0,4586,32.0104666375927,154,22.4225911314005
"E06000005","Darlington",0,5709,0,1282,20.372243137388
"E06000006","Halton",NA,2217,81.3712223725756,-59,16.4183022903366
"E06000007","Warrington",0,2904,51.6528925619835,41,21.9249617883727
"E06000008","Blackburn with Darwen",0,4044,0,443,19.3209717660863
"E06000009","Blackpool",0,3282,1.82815356489945,3762,17.962002297178
"E06000010","Kingston upon Hull, City of",NA,7694,46.5167663114115,2687,19.7242123319309
"E06000011","East Riding of Yorkshire",NA,4922,9.65054855749695,1169,31.5973483407634
"E06000012","North East Lincolnshire",NA,4402,0.93139482053612,845,25.2137768912673
"E06000013","North Lincolnshire",NA,1092,0,-76,20.0012150217968
"E06000014","York",0,8932,70.3090013434841,5609,23.1727331801488
"E06000015","Derby",4,7587,0,3152,24.8209747537179
"E06000016","Leicester",NA,8979,21.9623566098675,2417,19.3526784015645
"E06000017","Rutland",NA,28,0,245,21.4614214388507
"E06000018","Nottingham",0,11354,46.2215959133345,13556,19.5129614269473
"E06000019","Herefordshire, County of",NA,1721,0,3644,34.0959457264673
"E06000020","Telford and Wrekin",0,18418,10.9295254642198,73,20.4352741003129
"E06000021","Stoke-on-Trent",NA,1614,0,1146,18.2199975682313
"E06000022","Bath and North East Somerset",0,5659,44.6368616363315,6336,23.5343175976829
"E06000023","Bristol, City of",60,11069,17.8155208239227,7696,17.3019166200102
"E06000024","North Somerset",0,21451,3.967181017202,1589,22.6425186828259
"E06000025","South Gloucestershire",2,6365,65.6402199528672,-281,21.5857595018269
"E06000026","Plymouth",0,4350,30.6666666666667,2756,18.8073732100977
"E06000027","Torbay",NA,1355,0,3478,16.3129785773752
"E06000030","Swindon",4,567,0,3332,19.6154009653382
"E06000031","Peterborough",0,7778,0,2207,22.1133743103075
"E06000032","Luton",NA,15671,0.216961266032799,1406,18.4851826976271
"E06000033","Southend-on-Sea",0,10123,2.57828706905068,4204,16.6287693743151
"E06000034","Thurrock",0,13408,95.1297732696897,183,21.7183102362075
"E06000035","Medway",0,7388,31.0368164591229,3098,20.1453310984906
"E06000036","Bracknell Forest",0,3623,0,-164,20.1012031484793
"E06000037","West Berkshire",5,3842,26.8870380010411,1610,27.7831826418956
"E06000038","Reading",5,4375,0,2957,19.5659005233216
"E06000039","Slough",0,3887,17.0825829688706,-489,20.8961283314198
"E06000040","Windsor and Maidenhead",NA,4420,0,4045,20.8159480921975
"E06000041","Wokingham",1,451,13.3037694013304,1116,21.6709572242295
"E06000042","Milton Keynes",0,7531,26.3842783162927,10757,20.0506032834558
"E06000043","Brighton and Hove",0,6726,3.71691941718704,20075,19.253658376421
"E06000044","Portsmouth",0,6088,8.86990801576873,3534,14.0878131879595
"E06000045","Southampton",0,11311,4.5707718150473,5502,15.1951142793492
"E06000046","Isle of Wight",2,NA,NA,3074,21.5391414241216
"E06000047","County Durham",15,4921,40.1544401544402,387,21.8486856672121
"E06000049","Cheshire East",1,2884,2.98196948682386,2070,22.3910247679895
"E06000050","Cheshire West and Chester",0,9972,60.8704372242278,227,24.4666565400059
"E06000051","Shropshire",5,7194,25.7019738671115,2751,30.4089592690733
"E06000052","Cornwall",0,3178,0.943989930774072,9813,26.9357462369115
"E06000053","Isles of Scilly",NA,NA,NA,0,120
"E06000054","Wiltshire",0,4506,22.1926320461607,3706,24.576036663956
"E06000055","Bedford",0,6465,11.1523588553751,1187,24.687525320771
"E06000056","Central Bedfordshire",NA,7021,0,292,22.032711746007
"E06000057","Northumberland",0,1589,94.90245437382,-389,29.0021360124624
"E07000008","Cambridge",24,9741,3.07976593778873,6042,15.46796595375
"E07000009","East Cambridgeshire",NA,138,0,-80,40.9790164297434
"E07000010","Fenland",NA,422,0,-311,22.2632897780052
"E07000011","Huntingdonshire",NA,1152,0,1139,31.2777960376762
"E07000012","South Cambridgeshire",1,2721,80.1176038221242,0,38.6467095671348
"E07000026","Allerdale",NA,276,61.9565217391304,1105,25.9356959387799
"E07000027","Barrow-in-Furness",NA,62,0,390,18.7846798366256
"E07000028","Carlisle",NA,1824,0,523,30.2855199396292
"E07000029","Copeland",NA,544,7.35294117647059,210,29.5242590730982
"E07000030","Eden",1,223,0,142,54.582727538866
"E07000031","South Lakeland",2,202,8.91089108910891,1971,30.3453778978382
"E07000032","Amber Valley",NA,171,0,306,15.6811482306479
"E07000033","Bolsover",NA,1340,100,0,21.5621711192756
"E07000034","Chesterfield",0,776,11.9845360824742,1185,21.09156760326
"E07000035","Derbyshire Dales",NA,14,0,1568,22.7435511880652
"E07000036","Erewash",NA,66,0,16,18.2133650244319
"E07000037","High Peak",0,1159,13.9775668679896,715,20.2121729893629
"E07000038","North East Derbyshire",NA,NA,NA,-59,25.4499688138894
"E07000039","South Derbyshire",NA,NA,NA,-83,29.0118531730705
"E07000040","East Devon",NA,2799,0,2202,23.7329473614915
"E07000041","Exeter",0,961,0,4644,15.9932652528083
"E07000042","Mid Devon",NA,544,0,361,29.429742576614
"E07000043","North Devon",0,1953,2.30414746543779,1832,29.0667367482625
"E07000044","South Hams",NA,181,0,1795,30.2418772142303
"E07000045","Teignbridge",NA,300,0,2005,27.3907490008034
"E07000046","Torridge",NA,NA,NA,570,31.9084095463933
"E07000047","West Devon",NA,NA,NA,339,36.3055523923637
"E07000061","Eastbourne",NA,3135,0,271,17.5982552051424
"E07000062","Hastings",1,1011,0,387,17.733632318367
"E07000063","Lewes",4,357,6.72268907563025,418,18.1425533864197
"E07000064","Rother",0,1349,36.8421052631579,843,23.4477777011455
"E07000065","Wealden",0,1236,0.728155339805825,-445,23.9604992385572
"E07000066","Basildon",NA,8726,19.8601879440752,91,17.3257229500082
"E07000067","Braintree",NA,4425,22.9378531073446,602,23.2452675010968
"E07000068","Brentwood",NA,1662,12.6955475330927,747,18.5815205684099
"E07000069","Castle Point",NA,1294,19.1653786707883,404,16.3961599556003
"E07000070","Chelmsford",1,8540,34.03981264637,4490,22.9589002568296
"E07000071","Colchester",NA,7194,0.903530720044482,2500,24.2507300605719
"E07000072","Epping Forest",NA,3537,10.3477523324852,601,20.2486227253422
"E07000073","Harlow",NA,3504,24.3436073059361,417,22.4475055069194
"E07000074","Maldon",NA,317,0,457,34.3924543894749
"E07000075","Rochford",NA,2355,0,905,18.5921275577112
"E07000076","Tendring",NA,3391,37.5700383367738,-26,22.1054557303651
"E07000077","Uttlesford",NA,40700,0.221130221130221,538,27.5282190605637
"E07000078","Cheltenham",0,1362,0,2367,18.8249227631394
"E07000079","Cotswold",NA,461,0,1632,30.1397019378824
"E07000080","Forest of Dean",NA,NA,NA,-60,24.60376805043
"E07000081","Gloucester",0,6321,17.0700838474925,872,25.572599300005
"E07000082","Stroud",NA,206,0,305,23.659308350285
"E07000083","Tewkesbury",NA,NA,NA,386,29.191584233621
"E07000084","Basingstoke and Deane",0,3900,0,1275,32.8552353826049
"E07000085","East Hampshire",0,191,0,1279,26.5902765583076
"E07000086","Eastleigh",3,3827,0,1370,19.7072429171633
"E07000087","Fareham",NA,175,100,1261,24.6760029030668
"E07000088","Gosport",NA,NA,NA,469,20.1028152417985
"E07000089","Hart",NA,2060,0,463,23.6542142665449
"E07000090","Havant",NA,9,100,680,17.6749396513411
"E07000091","New Forest",NA,508,0,1235,20.7257134153421
