"lad","lad_name","Region","ua_name","ua","tourism_cluster"
"E06000001","Hartlepool","North East","Hartlepool","E06000001","5"
"E06000002","Middlesbrough","North East","Middlesbrough","E06000002","3"
"E06000003","Redcar and Cleveland","North East","Redcar and Cleveland","E06000003","3"
"E06000004","Stockton-on-Tees","North East","Stockton-on-Tees","E06000004","3"
"E06000005","Darlington","North East","Darlington","E06000005","3"
"E06000006","Halton","North West","Halton","E06000006","3"
"E06000007","Warrington","North West","Warrington","E06000007","3"
"E06000008","Blackburn with Darwen","North West","Blackburn with Darwen","E06000008","2"
"E06000009","Blackpool","North West","Blackpool","E06000009","2"
"E06000010","Kingston upon Hull, City of","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","1"
"E06000011","East Riding of Yorkshire","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","3"
"E06000012","North East Lincolnshire","Yorkshire and The Humber","North East Lincolnshire","E06000012","1"
"E06000013","North Lincolnshire","Yorkshire and The Humber","North Lincolnshire","E06000013","1"
"E06000014","York","Yorkshire and The Humber","York","E06000014","4"
"E06000015","Derby","East Midlands","Derby","E06000015","2"
"E06000016","Leicester","East Midlands","Leicester","E06000016","2"
"E06000017","Rutland","East Midlands","Rutland","E06000017","2"
"E06000018","Nottingham","East Midlands","Nottingham","E06000018","3"
"E06000019","Herefordshire, County of","West Midlands","Herefordshire, County of","E06000019","3"
"E06000020","Telford and Wrekin","West Midlands","Telford and Wrekin","E06000020","3"
"E06000021","Stoke-on-Trent","West Midlands","Stoke-on-Trent","E06000021","2"
"E06000022","Bath and North East Somerset","South West","Bath and North East Somerset","E06000022","5"
"E06000023","Bristol, City of","South West","Bristol, City of","E06000023","2"
"E06000024","North Somerset","South West","North Somerset","E06000024","5"
"E06000025","South Gloucestershire","South West","South Gloucestershire","E06000025","3"
"E06000026","Plymouth","South West","Plymouth","E06000026","3"
"E06000027","Torbay","South West","Torbay","E06000027","5"
"E06000030","Swindon","South West","Swindon","E06000030","2"
"E06000031","Peterborough","East of England","Peterborough","E06000031","2"
"E06000032","Luton","East of England","Luton","E06000032","3"
"E06000033","Southend-on-Sea","East of England","Southend-on-Sea","E06000033","3"
"E06000034","Thurrock","East of England","Thurrock","E06000034","3"
"E06000035","Medway","South East","Medway","E06000035","3"
"E06000036","Bracknell Forest","South East","Bracknell Forest","E06000036","2"
"E06000037","West Berkshire","South East","West Berkshire","E06000037","2"
"E06000038","Reading","South East","Reading","E06000038","2"
"E06000039","Slough","South East","Slough","E06000039","2"
"E06000040","Windsor and Maidenhead","South East","Windsor and Maidenhead","E06000040","2"
"E06000041","Wokingham","South East","Wokingham","E06000041","2"
"E06000042","Milton Keynes","South East","Milton Keynes","E06000042","2"
"E06000043","Brighton and Hove","South East","Brighton and Hove","E06000043","5"
"E06000044","Portsmouth","South East","Portsmouth","E06000044","2"
"E06000045","Southampton","South East","Southampton","E06000045","2"
"E06000046","Isle of Wight","South East","Isle of Wight","E06000046","5"
"E06000047","County Durham","North East","County Durham","E06000047","3"
"E06000049","Cheshire East","North West","Cheshire East","E06000049","3"
"E06000050","Cheshire West and Chester","North West","Cheshire West and Chester","E06000050","3"
"E06000051","Shropshire","West Midlands","Shropshire","E06000051","3"
"E06000052","Cornwall","South West","Cornwall","E06000052","5"
"E06000053","Isles of Scilly","South West","Isles of Scilly","E06000053","-1"
"E06000054","Wiltshire","South West","Wiltshire","E06000054","5"
"E06000055","Bedford","East of England","Bedford","E06000055","2"
"E06000056","Central Bedfordshire","East of England","Central Bedfordshire","E06000056","2"
"E06000057","Northumberland","North East","Northumberland","E06000057","5"
"E07000008","Cambridge","East of England","Cambridgeshire","E10000003","2"
